ID	Name	URL	CloudURL
aop-builder	AOP-Builder	https://crebuilder.vhp4safety.nl	https://crebuilder.vhp4safety.nl
aopsuite	AOP-Suite		https://aopsuite.cloud.vhp4safety.nl/
aopwiki	AOP-Wiki Snorql UI	https://aopwiki.rdf.bigcat-bioinformatics.org/	https://aopwiki.rdf.bigcat-bioinformatics.org/
aopwikiapi	AOP-Wiki API	https://aopwiki-api.cloud.vhp4safety.nl/api/marvinm2/AOPWikiQueries	https://aopwiki-api.cloud.vhp4safety.nl/api/marvinm2/AOPWikiQueries
arrayanalysis	ArrayAnalysis	https://arrayanalysis.org/	https://arrayanalysis.vhp4safety.nl/
asreview	ASReview	https://asreview.nl/	https://asreview.nl/
biomodels	BioModels	https://www.ebi.ac.uk/biomodels/	NA
biotransformer	BioTransformer	https://biotransformer.ca/	NA
bmdexpress_3	BMDExpress-3	https://github.com/auerbachs/BMDExpress-3	NA
bridgedb	BridgeDb	https://www.bridgedb.org/	https://bridgedb.cloud.vhp4safety.nl/
cdk	The Chemistry Development Kit	http://cdk.github.io/	NA
cdkdepict	CDK Depict	https://www.simolecule.com/cdkdepict/depict.html	https://cdkdepict.cloud.vhp4safety.nl/
celldesigner	CellDesigner	https://www.celldesigner.org/	NA
comptox	CompTox	https://comptox.epa.gov/dashboard/	NA
copasi	COPASI	http://copasi.org/	NA
cplogd	cpLogD	https://cplogd.cloud.vhp4safety.nl/	https://cplogd.cloud.vhp4safety.nl/
danish_qsar_database	Danish (Q)SAR Database	https://qsar.food.dtu.dk/	
decimer	DECIMER	https://decimer.ai/	NA
dsld	NIH Dietary Supplement Label Database	https://dsld.od.nih.gov/	NA
ema_documents	European Medicines Agency Documents	https://www.ema.europa.eu/en/search	NA
endocrine_disruptome	Endocrine Disruptome	http://endocrinedisruptome.ki.si/	
fairdomhub	FAIRDOMHub	https://fairdomhub.org/	NA
fairspace	Fairspace	https://www.thehyve.nl/services/fairspace	NA
farmacokompas	Farmacotherapeutisch Kompas	https://www.farmacotherapeutischkompas.nl/	NA
flame	Flame	https://phi.upf.edu/phi/index.php/software/flame/	http://flame.cloud.vhp4safety.nl:8098/
google	Google Search	https://google.com/	NA
gscholar	Google Scholar	https://scholar.google.com/	NA
jrc_data_catalogue	Joint Research Centre Data Catalogue	https://data.jrc.ec.europa.eu/	NA
llemy	Llemy	NA	https://llemy.vhp4safety.nl/
mct8-dock	MCT8 Docking for MIE Discovery	https://colab.research.google.com/drive/1vhy61p0z_AGnSEidwD83RwBzsW2AxAAT?usp=sharing	
molaopanalyser	MolAOP analyser	https://molaop-analyser.vhp4safety.nl/	https://molaop-analyser.vhp4safety.nl/
molaopbuilder	Molecular AOP Builder	https://github.com/marvinm2/KE-WP-mapping	https://molaop-builder.vhp4safety.nl/
oecd_qsar_toolbox	The OECD QSAR Toolbox	https://qsartoolbox.org/	
ontox_physiological_maps	ONTOX Physiological Maps	https://sites.google.com/view/ontox-maps/home	NA
oppbk_model	OP PBK Model	http://oppbk.cloud.vhp4safety.nl/	http://oppbk.cloud.vhp4safety.nl/
opsin	OPSIN: Open Parser for Systematic IUPAC nomenclature	https://www.ebi.ac.uk/opsin/	NA
oqt_assistant	O-QT — OECD QSAR Toolbox AI Assistant	https://github.com/VHP4Safety/O-QT-OECD-QSAR-Toolbox-AI-assistant	https://o-qt-oecd.vhp4safety.nl/
pathvisio	PathVisio	https://pathvisio.org/	NA
qaop_app	qAOP-App	https://qaop.vhp4safety.nl/	https://qaop.vhp4safety.nl/
qsprpred	QSPRpred	https://qsprpred.cloud.vhp4safety.nl/	https://qsprpred.cloud.vhp4safety.nl/
r_odaf	R-ODAF Shiny	NA	https://r-odaf.nl/
sombie	SOM Prediction	https://sombie.cloud.vhp4safety.nl/	https://sombie.cloud.vhp4safety.nl/
sysrev	SysRev	https://sysrev.com/	NA
toxtemp_assistant	ToxTempAssistant	https://toxtempassistant.vhp4safety.nl/	https://toxtempassistant.vhp4safety.nl/
txg_mapr	TXG-MAPr	https://txg-mapr.eu/	NA
vhp_glossary	VHP4Safety Glossary	https://glossary.vhp4safety.nl/	NA
wikibase	VHP4Safety Wikibase	https://compoundcloud.wikibase.cloud/	NA
wikipathways_aop	WikiPathways - AOP Portal	https://aop.wikipathways.org/	
xploreaop	xploreaop	https://xploreaop.cloud.vhp4safety.nl/	https://xploreaop.cloud.vhp4safety.nl/
